epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7441.12,0.97632,0.85174,1.18631,0.86433,0.34467,0.60266,0.43373,1.02573,0.86579,1.19958,0.007228,0.007228,0.007228
44,7609.44,0.96948,0.84917,1.183,0.88741,0.3249,0.60768,0.44125,1.01806,0.87179,1.20107,0.007162,0.007162,0.007162
45,7776.22,0.96932,0.84941,1.18564,0.92239,0.31558,0.6203,0.44686,1.03485,0.88667,1.208,0.007096,0.007096,0.007096
46,7934.68,0.97139,0.84927,1.18403,0.84468,0.3861,0.62123,0.42666,1.01408,0.87434,1.19103,0.00703,0.00703,0.00703
47,8103.68,0.9697,0.84757,1.1848,0.92725,0.29965,0.61373,0.44821,1.01342,0.88415,1.19355,0.006964,0.006964,0.006964
48,8274.38,0.95833,0.8392,1.17623,0.85765,0.39597,0.63368,0.45388,1.00587,0.85893,1.18641,0.006898,0.006898,0.006898
49,8436.8,0.96915,0.84185,1.18211,0.8918,0.33583,0.6112,0.4431,0.99997,0.84605,1.1834,0.006832,0.006832,0.006832
50,8603.38,0.94941,0.82703,1.17326,0.91785,0.32718,0.62257,0.45779,1.00398,0.85478,1.19234,0.006766,0.006766,0.006766
51,8763.6,0.9559,0.83439,1.17495,0.88799,0.37963,0.63576,0.4509,1.00654,0.85649,1.195,0.0067,0.0067,0.0067
52,8934.59,0.94409,0.82123,1.17262,0.88484,0.37127,0.63086,0.45683,1.00175,0.83426,1.18516,0.006634,0.006634,0.006634
53,9095.02,0.94441,0.82107,1.16965,0.92708,0.34462,0.63378,0.4603,0.98114,0.81875,1.171,0.006568,0.006568,0.006568
54,9255.7,0.95017,0.81997,1.16986,0.89451,0.37184,0.63125,0.46469,0.99143,0.82702,1.17577,0.006502,0.006502,0.006502
55,9418.64,0.94333,0.81118,1.16971,0.89088,0.34726,0.62272,0.45459,0.99163,0.8302,1.17492,0.006436,0.006436,0.006436
56,9582.87,0.93739,0.80494,1.16088,0.8479,0.40836,0.63339,0.45399,1.00359,0.84518,1.18766,0.00637,0.00637,0.00637
57,9756.81,0.94047,0.80125,1.16172,0.9114,0.36743,0.64291,0.47077,0.98349,0.8163,1.17451,0.006304,0.006304,0.006304
58,9924.02,0.9333,0.79472,1.16128,0.88031,0.38874,0.63589,0.46223,0.9851,0.81085,1.16833,0.006238,0.006238,0.006238
59,10096.5,0.92589,0.7806,1.15702,0.90613,0.34085,0.62459,0.46271,0.98562,0.81159,1.18001,0.006172,0.006172,0.006172
60,10253.9,0.93049,0.78677,1.15267,0.9167,0.40183,0.65821,0.47551,0.98595,0.80824,1.16733,0.006106,0.006106,0.006106
61,10421.6,0.92717,0.78842,1.15564,0.86305,0.40649,0.63751,0.46044,0.9895,0.82619,1.1747,0.00604,0.00604,0.00604
62,10589.9,0.92011,0.77808,1.14908,0.89627,0.38753,0.6442,0.47116,0.97805,0.80399,1.1711,0.005974,0.005974,0.005974
63,10754.9,0.91549,0.77007,1.15017,0.92359,0.38101,0.65229,0.4748,0.97194,0.79589,1.16346,0.005908,0.005908,0.005908
64,10913.7,0.91973,0.7724,1.14807,0.8902,0.38409,0.63717,0.47154,0.98092,0.79749,1.17181,0.005842,0.005842,0.005842
65,11078.7,0.91281,0.76369,1.15139,0.88604,0.40637,0.64599,0.47415,0.97455,0.79468,1.16151,0.005776,0.005776,0.005776
66,11252.4,0.91611,0.78104,1.14711,0.89365,0.40296,0.6475,0.47954,0.95816,0.78422,1.15086,0.00571,0.00571,0.00571
67,11417.8,0.90823,0.76208,1.14231,0.88737,0.39383,0.63977,0.46806,0.96465,0.78741,1.1571,0.005644,0.005644,0.005644
68,11585.5,0.91783,0.76456,1.14133,0.88222,0.40908,0.6465,0.47111,0.96433,0.77768,1.15313,0.005578,0.005578,0.005578
69,11745,0.90693,0.75767,1.14386,0.88434,0.41243,0.64647,0.47503,0.96345,0.7794,1.15144,0.005512,0.005512,0.005512
70,11910.8,0.90778,0.75424,1.13899,0.87965,0.39454,0.63387,0.45751,0.95077,0.76982,1.14398,0.005446,0.005446,0.005446
71,12083.9,0.90071,0.75249,1.13881,0.878,0.38342,0.6301,0.4637,0.95952,0.77226,1.15678,0.00538,0.00538,0.00538
72,12241.9,0.90792,0.74679,1.1357,0.88806,0.40516,0.64767,0.47603,0.9554,0.76432,1.1478,0.005314,0.005314,0.005314
73,12414.1,0.89338,0.74365,1.13155,0.89309,0.43318,0.66265,0.48078,0.95716,0.75759,1.15166,0.005248,0.005248,0.005248
74,12577,0.90261,0.73571,1.13384,0.90215,0.41837,0.66333,0.48467,0.95569,0.75565,1.15088,0.005182,0.005182,0.005182
75,12747.7,0.89405,0.73544,1.12839,0.89001,0.41508,0.65634,0.47077,0.96174,0.76863,1.15287,0.005116,0.005116,0.005116
